user,timestamp,surah,verse
13901,1444466204,10,89
13901,1444466261,10,92
13901,1444484532,10,98
13901,1444493296,10,99
13901,1444542511,10,106
13901,1444545884,10,107
13901,1444554335,11,6
13901,1444572425,11,7
13901,1444572491,11,11
13901,1444578967,11,17
13901,1444588641,11,18
13901,1444613268,11,24
13901,1444614733,11,29
13901,1444622885,11,34
13901,1444622901,11,35
13901,1444626279,11,40
13901,1444626659,11,43
13901,1444630129,11,44
13901,1444642905,11,45
13901,1444644221,11,48
13901,1444647414,11,49
13901,1444647633,11,50
13901,1444649365,11,53
13901,1444656360,11,58
13901,1444656457,11,59
13901,1444657596,11,60
13901,1444657676,11,62
13901,1444658080,11,63
13901,1444658113,11,64
13901,1444658303,11,65
13901,1444658812,11,66
13901,1444661066,11,69
13901,1444666599,11,70
13901,1444666696,11,76
13901,1444709383,11,81
13901,1444715322,11,82
13901,1444717040,11,83
13901,1444723080,11,88
13901,1444728588,11,89
13901,1444729428,11,90
13901,1444734738,11,91
13901,1444738434,11,92
13901,1444738478,11,93
13901,1444738498,11,94
13901,1444743750,11,98
13901,1444744903,11,103
13901,1444744936,11,104
13901,1444746768,11,105
13901,1444746973,11,106
13901,1444748125,11,111
13901,1444758801,11,116
13901,1444791638,12,6
13901,1444799523,12,9
13901,1444803498,12,13
13901,1444803519,12,14
13901,1444803589,12,17
13901,1444805839,12,18
13901,1444808375,12,19
13901,1444808454,12,22
13901,1444808707,12,23
13901,1444808747,12,24
13901,1444808818,12,26
13901,1444821096,12,35
13901,1444823762,12,38
13901,1444831410,12,39
13901,1444831499,12,43
13901,1444837489,12,44
13901,1444841095,12,45
13901,1444882432,12,55
13901,1444884503,12,63
13901,1444896666,12,68
13901,1444914428,12,69
13901,1444915170,12,76
13901,1444919800,12,77
13901,1444937802,12,78
13901,1444966290,12,83
13901,1444968073,12,87
13901,1444968142,12,88
13901,1444973899,12,89
13901,1444975979,12,90
13901,1444996241,12,100
13901,1444999831,12,101
13901,1445001599,12,102
13901,1445004163,12,107
13901,1445012854,13,3
13901,1445025245,13,4
13901,1445057303,13,9
13901,1445057328,13,11
13901,1445060846,13,12
13901,1445064264,13,13
13901,1445077223,13,14
13901,1445083660,13,16
13901,1445087553,13,17
13901,1445089077,13,18
13901,1445093162,13,22
13901,1445093178,13,23
13901,1445093864,13,24
13901,1445093918,13,30
13901,1445099146,13,31
13901,1445099198,13,32
13901,1445105666,13,33
13901,1445111650,13,34
13901,1445145013,13,35
13901,1445145955,13,40
13901,1445164296,14,4
13901,1445168965,14,5
13901,1445222645,14,9
13901,1445232805,14,10
13901,1445242646,14,11
13901,1445242679,14,13
13901,1445250644,14,17
13901,1445252012,14,18
13901,1445260402,14,21
13901,1445263600,14,22
13901,1445266699,14,23
13901,1445269897,14,28
13901,1445273603,14,36
13901,1445273619,14,37
13901,1445273753,14,38
13901,1445274297,14,39
13901,1445314207,14,45
13901,1445314287,14,48
13901,1445314312,14,49
13901,1445316408,15,4
13901,1445316424,15,7
13901,1445321425,15,8
13901,1445324994,15,14
13901,1445325026,15,17
13901,1445325630,15,23
13901,1445332710,15,36
13901,1445342400,15,47
13901,1445347061,15,48
13901,1445347086,15,52
13901,1445348111,15,61
13901,1445349361,15,66
13901,1445349675,15,67
13901,1445355501,15,72
13901,1445366977,15,77
13901,1445367065,15,87
13901,1445400470,15,88
13901,1445400518,15,96
13901,1445407658,16,7
13901,1445407701,16,10
13901,1445408221,16,11
13901,1445412939,16,19
13901,1445420570,16,20
13901,1445420580,16,22
13901,1445424947,16,27
13901,1445425461,16,28
13901,1445427209,16,29
13901,1445427327,16,35
13901,1445453666,16,36
13901,1445476653,16,37
13901,1445477482,16,43
13901,1445488591,16,48
13901,1445495808,16,51
13901,1445505485,16,52
13901,1445506513,16,59
13901,1445589436,16,60
13901,1445594699,16,64
13901,1445608022,16,69
13901,1445627381,16,72
13901,1445627462,16,78
13901,1445655685,16,83
13901,1445664898,16,84
13901,1445664983,16,89
13901,1445665108,16,90
13901,1445665514,16,91
13901,1445667144,16,92
13901,1445667369,16,93
13901,1445676875,16,94
13901,1445693383,16,99
13901,1445693397,16,100
13901,1445740564,16,106
13901,1445750737,16,116
13901,1445751481,16,123
13901,1445751489,16,124
13901,1445763144,17,6
13901,1445763545,17,9
13901,1445763577,17,12
13901,1445769546,17,13
13901,1445800202,17,18
13901,1445802805,17,19
13901,1445826487,17,24
13901,1445835934,17,27
13901,1445836260,17,33
13901,1445836478,17,34
13901,1445836489,17,35
13901,1445843644,17,41
13901,1445856055,17,46
13901,1445858441,17,47
13901,1445864382,17,48
13901,1445889854,17,51
13901,1445890224,17,52
13901,1445914286,17,55
13901,1445937837,17,56
13901,1445946377,17,57
13901,1445947295,17,58
13901,1445958889,17,59
13901,1445963176,17,60
13901,1445972554,17,61
13901,1445977048,17,64
13901,1445997253,17,65
13901,1445997292,17,69
13901,1445997371,17,70
13901,1445998206,17,71
13901,1446005204,17,76
13901,1446006521,17,77
13901,1446006796,17,79
13901,1446007887,17,80
13901,1446009325,17,81
13901,1446010292,17,83
13901,1446010309,17,84
13901,1446010328,17,85
13901,1446011060,17,86
13901,1446011605,17,87
13901,1446012437,17,90
13901,1446014523,17,95
13901,1446014551,17,96
13901,1446020081,17,97
13901,1446021699,17,98
13901,1446031454,17,99
13901,1446035599,17,100
13901,1446035958,17,105
13901,1446037525,17,110
13901,1446037822,17,111
13901,1446037873,18,2
13901,1446039039,18,4
13901,1446039864,18,5
13901,1446040390,18,11
13901,1446046888,18,12
13901,1446052517,18,17
13901,1446063579,18,19
13901,1446085138,18,20
13901,1446086286,18,21
13901,1446095198,18,22
13901,1446095309,18,23
13901,1446095343,18,27
13901,1446095807,18,28
13901,1446097492,18,29
13901,1446114670,18,30
13901,1446114976,18,31
13901,1446115918,18,32
13901,1446122390,18,33
13901,1446125481,18,34
13901,1446125806,18,35
13901,1446125822,18,37
13901,1446126321,18,38
13901,1446128523,18,42
13901,1446131633,18,43
13901,1446131976,18,44
13901,1446133920,18,45
13901,1446133971,18,48
13901,1446148088,18,53
13901,1446177515,18,58
13901,1446177558,18,59
13901,1446179225,18,60
13901,1446179516,18,63
13901,1446179726,18,64
13901,1446184686,18,65
13901,1446189537,18,71
13901,1446189570,18,72
13901,1446191352,18,74
13901,1446191370,18,75
13901,1446199755,18,79
13901,1446210725,18,80
13901,1446215008,18,81
13901,1446222835,18,82
13901,1446234078,18,90
13901,1446234528,18,95
13901,1446234782,18,96
13901,1446260636,18,101
13901,1446260644,18,102
13901,1446262098,18,103
13901,1446262327,19,5
13901,1446263183,19,8
13901,1446263464,19,11
13901,1446264579,19,12
13901,1446264601,19,17
13901,1446264875,19,16
13901,1446266837,19,23
13901,1446266948,19,26
13901,1446267875,19,32
13901,1446268889,19,37
13901,1446268956,19,41
13901,1446269058,19,46
13901,1446269438,19,47
13901,1446269456,19,49
13901,1446269534,19,50
13901,1446271625,19,54
13901,1446273273,19,59
13901,1446273511,19,65
13901,1446273547,19,69
13901,1446273626,19,70
13901,1446280186,19,75
13901,1446280894,19,76
13901,1446287559,19,77
13901,1446291012,19,78
13901,1446291655,19,81
13901,1446295927,19,87
13901,1446301128,19,94
13901,1446301330,20,7
13901,1446323383,20,10
13901,1446323417,20,12
13901,1446346643,20,21
13901,1446358270,20,36
13901,1446358284,20,39
13901,1446360768,20,47
13901,1446361067,20,55
13901,1446361088,20,56
13901,1446370678,20,61
13901,1446370785,20,66
13901,1446371379,20,69
13901,1446371394,20,68
13901,1446382085,20,73
13901,1446383764,20,78
13901,1446387124,20,84
13901,1446388354,20,89
13901,1446388505,20,90
13901,1446388886,20,91
13901,1446389995,20,92
13901,1446393031,20,95
13901,1446393555,20,97
13901,1446393586,20,98
13901,1446393598,20,100
13901,1446393606,20,102
13901,1446393675,20,103
13901,1446393825,20,108
13901,1446395370,20,109
13901,1446397901,20,110
13901,1446432384,20,113
13901,1446433783,20,118
13901,1446433926,20,125
13901,1446439227,20,128
13901,1446443777,20,132
13901,1446444021,20,133
13901,1446453270,21,4
13901,1446474348,21,15
13901,1446475937,21,20
13901,1446477440,21,25
13901,1446478718,21,30
13901,1446478733,21,31
13901,1446495221,21,38
13901,1446518549,21,44
13901,1446519212,21,48
13901,1446525532,21,53
13901,1446525592,21,58
13901,1446535117,21,59
13901,1446537732,21,64
13901,1446537736,21,65
13901,1446543318,21,70
13901,1446543420,21,71
13901,1446553366,21,77
13901,1446553413,21,80
13901,1446554157,21,85
13901,1446556911,21,86
13901,1446561102,21,91
13901,1446577573,21,92
13901,1446577685,21,97
13901,1446582334,21,102
13901,1446610394,21,109
13901,1446611616,21,112
13901,1446611753,22,3
13901,1446612102,22,4
13901,1446612180,22,8
13901,1446618887,22,9
13901,1446626649,22,11
13901,1446648774,22,18
13901,1446649257,22,19
13901,1446657592,22,25
13901,1446660699,22,26
13901,1446692418,22,31
13901,1446693305,22,32
13901,1446712535,22,37
13901,1446712660,22,47
13901,1446714045,22,53
13901,1446739625,22,54
13901,1446749185,22,55
13901,1446749213,22,59
13901,1446754044,22,66
13901,1446754072,22,68
13901,1446754082,22,70
13901,1446754097,22,72
13901,1446754120,22,73
13901,1446780481,22,78
13901,1446780720,23,1
13901,1446789463,23,12
13901,1446789855,23,21
13901,1446790018,23,22
13901,1446790034,23,24
13901,1446799952,23,25
13901,1446800694,23,26
13901,1446806652,23,33
13901,1446807065,23,34
13901,1446807133,23,41
13901,1446808021,23,52
13901,1446811497,23,63
13901,1446815073,23,66
13901,1446815987,23,73
13901,1446816839,23,78
13901,1446820903,23,79
13901,1446836915,23,90
13901,1446836937,23,93
13901,1446865637,23,98
13901,1446874263,23,105
13901,1446875876,23,117
13901,1446876357,24,2
13901,1446876911,24,3
13901,1446881424,24,4
13901,1446881448,24,6
13901,1446885298,24,11
13901,1446885316,24,12
13901,1446888942,24,13
13901,1446890045,24,18
13901,1446894237,24,26
13901,1446905851,24,31
13901,1446909929,24,34
13901,1446911048,24,35
13901,1446953294,24,36
13901,1446953355,24,40
13901,1446953418,24,41
13901,1446954646,24,48
13901,1446954996,24,54
13901,1446955095,24,55
13901,1446970423,24,58
13901,1446976510,24,59
13901,1446983614,24,62
13901,1446990776,24,63
13901,1446995071,25,7
13901,1446996333,25,8
13901,1446996469,25,15
13901,1446996493,25,16
13901,1446997296,25,17
13901,1446998324,25,18
13901,1446999528,25,19
13901,1447008147,25,20
13901,1447010633,25,21
13901,1447010705,25,27
13901,1447045028,25,37
13901,1447059209,25,42
13901,1447072887,25,48
13901,1447088965,25,53
13901,1447089009,25,60
13901,1447089298,25,61
13901,1447092584,25,72
13901,1447096173,26,4
13901,1447129462,26,18
13901,1447135243,26,34
13901,1447135377,26,43
13901,1447137734,26,44
13901,1447141374,26,49
13901,1447144549,26,59
13901,1447144792,26,68
13901,1447146149,26,77
13901,1447146170,26,83
13901,1447146183,26,87
13901,1447146625,26,98
13901,1447146639,26,102
13901,1447152811,26,111
13901,1447154107,26,118
13901,1447154129,26,123
13901,1447158520,26,136
13901,1447159049,26,145
13901,1447170976,26,153
13901,1447181206,26,176
13901,1447211878,26,192
13901,1447212146,26,200
13901,1447221358,26,214
13901,1447221370,26,218
13901,1447221796,27,6
13901,1447222098,27,9
13901,1447225448,27,15
13901,1447228497,27,16
13901,1447243635,27,21
13901,1447246137,27,22
13901,1447250871,27,25
13901,1447250899,27,27
13901,1447253094,27,31
13901,1447256540,27,36
13901,1447256653,27,37
13901,1447259573,27,44
13901,1447262081,27,48
13901,1447267121,27,54
13901,1447293635,27,61
13901,1447294109,27,65
13901,1447295330,27,75
13901,1447295343,27,76
13901,1447308657,27,80
13901,1447308890,27,87
13901,1447309362,27,90
13901,1447309402,27,91
13901,1447309449,28,4
13901,1447310137,28,5
13901,1447311546,28,6
13901,1447312190,28,7
13901,1447315425,28,8
13901,1447317158,28,15
13901,1447328083,28,18
13901,1447351277,28,19
13901,1447354722,28,20
13901,1447383467,28,29
13901,1447392237,28,30
13901,1447400487,28,31
13901,1447400554,28,35
13901,1447400807,28,36
13901,1447401344,28,40
13901,1447401897,28,45
13901,1447402166,28,48
13901,1447402350,28,54
13901,1447402381,28,57
13901,1447402523,28,58
13901,1447404402,28,64
13901,1447405577,28,65
13901,1447405809,28,66
13901,1447406097,28,69
13901,1447408559,28,76
13901,1447408697,28,77
13901,1447408975,28,78
13901,1447409435,28,79
13901,1447412165,28,85
13901,1447412315,28,86
13901,1447412487,29,6
13901,1447421021,29,10
13901,1447431523,29,11
13901,1447431893,29,12
13901,1447433824,29,17
13901,1447435568,29,18
13901,1447466773,29,24
13901,1447468252,29,31
13901,1447468302,29,32
13901,1447468349,29,38
13901,1447468850,29,41
13901,1447474345,29,45
13901,1447474425,29,46
13901,1447474551,29,51
13901,1447476188,29,55
13901,1447478864,29,56
13901,1447479020,29,61
13901,1447479034,29,63
13901,1447481646,29,64
13901,1447481989,30,7
13901,1447482956,30,8
13901,1447483009,30,14
13901,1447490172,30,18
13901,1447490444,30,21
13901,1447490504,30,23
13901,1447490743,30,24
13901,1447491005,30,37
13901,1447491190,30,40
13901,1447491210,30,42
13901,1447501623,30,46
13901,1447507387,30,47
13901,1447514769,30,48
13901,1447514819,30,52
13901,1447517323,30,56
13901,1447517679,30,57
13901,1447517802,31,6
13901,1447519559,31,7
13901,1447520025,31,8
13901,1447551647,31,15
13901,1447564397,31,20
13901,1447565960,31,21
13901,1447570768,31,31
13901,1447572124,31,32
13901,1447583004,31,33
13901,1447645202,32,4
13901,1447656590,32,7
13901,1447656815,32,12
13901,1447661583,32,13
13901,1447665463,32,16
13901,1447665540,32,20
13901,1447666181,32,22
13901,1447672405,32,23
13901,1447672486,32,26
13901,1447672499,32,27
13901,1447675153,32,28
13901,1447676306,32,29
13901,1447677874,33,4
13901,1447679219,33,5
13901,1447679549,33,6
13901,1447680334,33,12
13901,1447680344,33,13
13901,1447697259,33,20
13901,1447698809,33,28
13901,1447731760,33,32
13901,1447733759,33,33
13901,1447734632,33,35
13901,1447734676,33,37
13901,1447736078,33,38
13901,1447736322,33,39
13901,1447740282,33,44
13901,1447740302,33,47
13901,1447740307,33,48
13901,1447741230,33,49
13901,1447741311,33,50
13901,1447741364,33,51
13901,1447741421,33,52
13901,1447741442,33,53
13901,1447741730,33,54
13901,1447741928,33,55
13901,1447742344,33,56
13901,1447742602,33,57
13901,1447742674,33,60
13901,1447742954,33,61
13901,1447746452,33,69
13901,1447748102,33,72
13901,1447750063,34,2
13901,1447750074,34,3
13901,1447757361,34,4
13901,1447758349,34,9
13901,1447759532,34,11
13901,1447760086,34,13
13901,1447760252,34,14
13901,1447760538,34,15
13901,1447760592,34,19
13901,1447761117,34,20
13901,1447761411,34,23
13901,1447763131,34,24
13901,1447763670,34,28
13901,1447763689,34,31
13901,1447763868,34,32
13901,1447763973,34,33
13901,1447764011,34,46
13901,1447764301,34,48
13901,1447764378,34,50
13901,1447764459,34,51
13901,1447768213,34,53
13901,1447768255,35,2
13901,1447769228,35,8
13901,1447769243,35,9
13901,1447777425,35,12
13901,1447780205,35,13
13901,1447782203,35,14
13901,1447784517,35,25
13901,1447788339,35,28
13901,1447816268,35,29
13901,1447816655,35,37
13901,1447816690,35,39
13901,1447816920,35,41
13901,1447816954,35,43
13901,1447817632,35,44
13901,1447818213,36,10
13901,1447818596,36,13
13901,1447818788,36,14
13901,1447818798,36,16
13901,1447828436,36,19
13901,1447836726,36,26
13901,1447842255,36,33
13901,1447845727,36,39
13901,1447846668,36,42
13901,1447855106,36,47
13901,1447855158,36,55
13901,1447856823,36,56
13901,1447857241,36,60
13901,1447857332,36,61
13901,1447857424,36,69
13901,1447858023,36,72
13901,1447858110,36,76
13901,1447862694,37,9
13901,1447864825,37,10
13901,1447871369,37,20
13901,1447902649,37,28
13901,1447902693,37,37
13901,1447902844,37,41
13901,1447903215,37,49
13901,1447904096,37,57
13901,1447915589,37,68
13901,1447915600,37,70
13901,1447915611,37,72
13901,1447915642,37,79
13901,1447915955,37,90
13901,1447921928,37,102
13901,1447932398,37,103
13901,1447932508,37,112
13901,1447937379,37,118
13901,1447937385,37,119
13901,1447939136,37,132
13901,1447941579,37,139
13901,1447942782,37,144
13901,1447952286,37,155
13901,1447952518,37,165
13901,1447952529,37,168
13901,1447952536,37,170
13901,1447954511,37,175
13901,1447954616,37,178
13901,1447954677,38,4
13901,1447956065,38,6
13901,1447959041,38,15
13901,1447989914,38,21
13901,1447990134,38,25
13901,1447990647,38,26
13901,1447998317,38,31
13901,1447998602,38,36
13901,1447999066,38,41
13901,1447999248,38,44
13901,1447999322,38,45
13901,1447999417,38,46
13901,1448000475,38,55
13901,1448005959,38,60
13901,1448006061,38,69
13901,1448006575,38,70
13901,1448015871,38,78
13901,1448016881,39,5
13901,1448026118,39,6
13901,1448038299,39,7
13901,1448038759,39,9
13901,1448039724,39,10
13901,1448039750,39,14
13901,1448042130,39,12
13901,1448046606,39,19
13901,1448046610,39,18
13901,1448080009,39,22
13901,1448087092,39,23
13901,1448088510,39,24
13901,1448089075,39,29
13901,1448089366,39,30
13901,1448089601,39,33
13901,1448089805,39,36
13901,1448091497,39,37
13901,1448096832,39,41
13901,1448098497,39,45
